"country","category","rss-url"
"US","general","http://feeds.abcnews.com/abcnews/usheadlines"
"US","general","http://rss.cnn.com/rss/cnn_topstories.rss"
"US","general","http://www.cbsnews.com/latest/rss/main"
"US","general","http://rss.csmonitor.com/feeds/usa"
"US","general","http://feeds.nbcnews.com/feeds/topstories"
"US","general","http://www.huffingtonpost.com/feeds/verticals/world/index.xml"
"US","general","http://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml"
"US","general","http://news.yahoo.com/rss/us"
"US","general","http://rss.news.yahoo.com/rss/world"
"US","general","http://feeds.feedburner.com/thedailybeast/articles"
"US","general","http://qz.com/feed"
"US","general","http://www.theguardian.com/world/usa/rss"
"US","general","http://www.politico.com/rss/politicopicks.xml"
"US","general","http://www.newyorker.com/feed/news"
"US","general","http://feeds.feedburner.com/NationPBSNewsHour"
"US","general","http://feeds.feedburner.com/NewshourWorld"
"US","general","http://www.npr.org/rss/rss.php?id=1004"
"US","general","http://www.salon.com/category/news/feed/rss/"
"US","general","http://time.com/newsfeed/feed/"
"US","general","http://feeds.foxnews.com/foxnews/latest?format=xml"
"US","politics","http://www.politico.com/rss/magazine.xml"
"US","politics","http://www.politico.com/rss/Top10Blogs.xml"
"US","politics","http://www.huffingtonpost.com/feeds/verticals/politics/index.xml"
"US","politics","http://rss.cnn.com/rss/cnn_allpolitics.rss"
"US","politics","http://feeds.foxnews.com/foxnews/politics"
"US","politics","http://rss.nytimes.com/services/xml/rss/nyt/Upshot.xml"
"US","politics","http://thecaucus.blogs.nytimes.com/feed/"
"US","politics","http://feeds.dailykos.com/dailykos/index.xml"
"US","politics","http://www.rollcall.com/rss/all_news.xml"
"US","politics","http://www.thenation.com/rss/articles"
"US","politics","http://www.washingtontimes.com/rss/headlines/news/politics/"
"US","politics","http://feeds.feedburner.com/realclearpolitics/qlMj"
"US","politics","http://dailycaller.com/section/politics/feed/"
"US","politics","https://www.nationalreview.com/rss.xml"
"US","politics","http://feeds.feedburner.com/DrudgeReportFeed"
"US","politics","http://feeds.slate.com/slate-101526"
"US","politics","http://feeds.feedburner.com/motherjones/Politics"
"US","politics","http://www.newrepublic.com/taxonomy/term/17538/feed"
"US","politics","http://fivethirtyeight.com/politics/feed/"
"US","politics","http://twitchy.com/category/us-politics/feed/"
"IN","general","http://indianexpress.com/section/india/feed/"
"IN","general","http://feeds.bbci.co.uk/news/world/asia/india/rss.xml"
"IN","general","http://www.thehindubusinessline.com/news/?service=rss"
"IN","general","http://www.thehindu.com/news/national/?service=rss"
"IN","general","http://www.business-standard.com/rss/current-affairs-news-11501.rss"
"IN","general","http://economictimes.indiatimes.com/News/rssfeeds/1715249553.cms"
"IN","general","http://www.business-standard.com/rss/home_page_top_stories.rss"
"IN","general","http://www.deccanchronicle.com/rss.xml"
"IN","politics","http://www.thehindu.com/news/national/?service=rss"
"IN","politics","http://www.thehindu.com/news/cities/?service=rss"
"IN","politics","http://www.firstpost.com/politics/feed"
"GB","general","http://www.theguardian.com/world/rss"
"GB","general","http://www.theweek.co.uk/feeds/all"
"GB","general","http://feeds.bbci.co.uk/news/world/rss.xml"
"GB","general","http://feeds.bbci.co.uk/news/uk/rss.xml"
"GB","general","http://www.theguardian.com/uk/rss"
"GB","general","http://www.telegraph.co.uk/news/uknews/rss"
"GB","general","http://www.standard.co.uk/news/rss"
"GB","general","http://www.oxfordmail.co.uk/news/rss/"
"GB","general","http://feeds.feedburner.com/daily-express-uk-news"
"GB","general","http://www.standard.co.uk/news/rss"
"GB","general","http://www.manchestereveningnews.co.uk/rss.xml"
"GB","general","http://feeds.feedburner.com/ScottishNewsHeraldScotland"
"GB","general","http://www.channel4.com/news/uk/rss"
"GB","politics","http://feeds.skynews.com/feeds/rss/politics.xml"
"GB","politics","http://feeds.bbci.co.uk/news/politics/rss.xml"
"GB","politics","http://feeds.theguardian.com/theguardian/politics/rss"
"GB","politics","http://www.telegraph.co.uk/news/politics/rss"
"GB","politics","http://www.economist.com/blogs/blighty/index.xml"
"GB","politics","http://www.economist.com/feeds/print-sections/76/britain.xml"
"GB","politics","http://www.standard.co.uk/news/politics/rss"
